Title,Link,Date,Sentiment,Polarity
SpaceX mission with NASA astronauts aboard completes 1st splashdown in 45 years,https://www.cbc.ca/news/technology/astronauts-spacex-return-to-earth-1.5672052?cmp=rss,"Sun, 2 Aug 2020 00:01:00 EDT",Neutral,0.0
What would a U.S. ban on Chinese-owned app TikTok mean?,https://www.cbc.ca/news/technology/tiktok-ban-chinese-trump-1.5671958?cmp=rss,"Sat, 1 Aug 2020 17:08:51 EDT",Negative,-0.3125
Scientists study coronavirus outbreaks among minks at breeding farms in Europe,https://www.cbc.ca/news/technology/coronavirus-europe-minks-killed-1.5672182?cmp=rss,"Sun, 2 Aug 2020 10:48:47 EDT",Neutral,0.0
Yukon man captures 'first record' of ghost moth in territory ,https://www.cbc.ca/news/canada/north/ghost-moth-watson-lake-yukon-1.5669456?cmp=rss,"Sun, 2 Aug 2020 08:00:00 EDT",Positive,0.25
"3 charged in high-profile Twitter hack targeting Barack Obama, Bill Gates, others",https://www.cbc.ca/news/technology/twitter-hack-phone-1.5670061?cmp=rss,"Fri, 31 Jul 2020 07:39:43 EDT",Neutral,0.0
Trump vows to ban TikTok app from U.S.,https://www.cbc.ca/news/world/trump-vow-ban-tiktok-1.5671606?cmp=rss,"Fri, 31 Jul 2020 22:49:48 EDT",Neutral,0.0
King penguin chick gets hands-on treatment after egg rolls and cracks on rocks,https://www.cbc.ca/news/canada/calgary/king-penguin-chick-gets-hands-on-treatment-1.5670719?cmp=rss,"Fri, 31 Jul 2020 18:46:37 EDT",Neutral,0.0
New COVID-19 notification app rolls out in Ontario,https://www.cbc.ca/news/politics/covid-pandemic-app-ontario-1.5670239?cmp=rss,"Fri, 31 Jul 2020 11:30:00 EDT",Positive,0.13636363636363635
"U.S. astronauts ready for capsule splashdown, the first in 45 years",https://www.cbc.ca/news/technology/spacex-astronauts-splashdown-1.5670789?cmp=rss,"Fri, 31 Jul 2020 16:20:04 EDT",Positive,0.225
Microsoft reportedly in talks to buy TikTok as Trump mulls ban on video sharing app,https://www.cbc.ca/news/business/tiktok-trump-microsoft-1.5670837?cmp=rss,"Fri, 31 Jul 2020 16:00:26 EDT",Neutral,0.0
A group of international researchers has mapped more of the Arctic Ocean floor than ever before,https://www.cbc.ca/news/canada/north/arctic-ocean-seabed-map-published-1.5669378?cmp=rss,"Fri, 31 Jul 2020 07:00:00 EDT",Positive,0.25
"By scooping up refundable bottles and cans, 'binners' are helping the environment",https://www.cbc.ca/news/technology/what-on-earth-binners-recycling-environment-1.5669324?cmp=rss,"Fri, 31 Jul 2020 04:00:00 EDT",Neutral,0.0
NASA's next-generation Mars rover Perseverance blasts off,https://www.cbc.ca/news/technology/mars-perseverance-launch-1.5668467?cmp=rss,"Thu, 30 Jul 2020 07:14:00 EDT",Neutral,0.0
Sask. vaccine developer locks in Canadian manufacturers for human clinical trials,https://www.cbc.ca/news/canada/saskatoon/vido-intervac-dalton-biodextris-early-phase-trials-1.5667898?cmp=rss,"Wed, 29 Jul 2020 18:12:08 EDT",Neutral,0.0
Ammonite miners dig up 74-million-year-old fish fossil in southern Alberta,https://www.cbc.ca/news/canada/calgary/ammonite-mine-fossil-discovery-1.5668282?cmp=rss,"Thu, 30 Jul 2020 07:00:00 EDT",Neutral,0.0
Shaw launches mobile service for existing internet customers in Alberta and B.C.,https://www.cbc.ca/news/business/shaw-mobile-1.5668556?cmp=rss,"Thu, 30 Jul 2020 09:19:47 EDT",Neutral,0.0
Canadian miner answers electric carmaker Elon Musk's call for zero-carbon nickel,https://www.cbc.ca/news/business/canada-miner-nickel-elon-musk-1.5667022?cmp=rss,"Thu, 30 Jul 2020 04:00:00 EDT",Neutral,0.0
"Government's effort to publicize Big 3 cell service prices isn't driving them down, advocates say",https://www.cbc.ca/news/politics/rogers-telus-bell-cellphone-wireless-bain-1.5667824?cmp=rss,"Wed, 29 Jul 2020 17:13:07 EDT",Negative,-0.07777777777777779
Life on Mars? Canada lends hand to snag pieces of Mars on new mission set to launch Thursday,https://www.cbc.ca/news/technology/mars-perseverance-canada-1.5665791?cmp=rss,"Wed, 29 Jul 2020 04:00:00 EDT",Positive,0.13636363636363635
LifeLabs goes to court to block results of investigation into 2019 privacy breach,https://www.cbc.ca/news/business/lifelabs-data-breach-1.5667618?cmp=rss,"Wed, 29 Jul 2020 14:11:42 EDT",Neutral,0.0
